card_id,max_amount,remaining_amount,employee_id,last_transaction
U_000,1445.353870881957,371.6965554147508,U_008,2024-11-01
U_001,717.8379618932188,624.1451325839971,U_013,2024-11-01
U_002,997.9242873758894,983.2659352396103,U_006,2024-11-01
U_003,1360.4017849844688,1116.0855957109864,U_014,2024-11-01
U_004,922.1472240317621,645.6687040845961,U_013,2024-11-01
U_005,987.6605981623893,723.8303626090834,U_018,2024-11-01
U_006,1476.9932527826018,724.6778869575626,U_013,2024-11-01
U_007,637.9497727481296,26.31323311620959,U_003,2024-11-01
U_008,1224.8660980280793,855.3025435630639,U_009,2024-11-01
U_009,1405.676554564657,75.79966926443687,U_013,2024-11-01
U_010,746.1135546513369,80.70975030315243,U_010,2024-11-01
U_011,1324.166151206408,286.8816938440598,U_000,2024-11-01
U_012,1365.9573048629081,489.03665257852396,U_011,2024-11-01
U_013,1041.403570680322,471.0528637926168,U_000,2024-11-01
U_014,641.7592782277771,407.918795182592,U_018,2024-11-01
U_015,1259.319867414888,706.2201330829381,U_001,2024-11-01
U_016,864.5999247879786,685.0754984825696,U_017,2024-11-01
U_017,1368.6693377119393,1182.7065206812508,U_001,2024-11-01
U_018,635.7336322108358,346.83114482441886,U_018,2024-11-01
U_019,1244.972161352993,1013.0930293319452,U_007,2024-11-01
